seed,episode_index,walk_direction,reset_phase,commanded_step_length_m,commanded_step_height_m,hold_success,requery_success,hold_valid_for_cmt,requery_valid_for_cmt,both_valid_for_cmt,hold_cmt,requery_cmt,requery_minus_hold_cmt,requery_lower_cmt,hold_energy_j,requery_energy_j,hold_displacement_m,requery_displacement_m,hold_terminal_reason,requery_terminal_reason,hold_sign_switch_count,requery_sign_switch_count,hold_sign_sequence_rle,requery_sign_sequence_rle
20260702,71,1.0,pre_cross,0.3,0.01,False,False,False,False,False,nan,nan,nan,,0.6252292677352795,0.7970424383897214,-0.033808740712716806,-0.040218686518248226,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,1,+x21,+x9|-x22
20260702,72,1.0,touchdown,0.3,0.01,True,True,False,False,False,nan,nan,nan,,0.17662641849601443,0.17662641849601443,-0.010502594339490023,-0.010502594339490023,success,success,0,0,-x7,-x7
20260702,73,1.0,mid_cross,0.3,0.01,False,False,False,False,False,nan,nan,nan,,0.12773918811147453,0.10840454916122955,0.029262583444836288,0.027308309272571815,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,1,+x15,+x1|-x13
20260702,74,1.0,touchdown,0.3,0.01,False,True,False,True,False,nan,0.2441687466334578,nan,,0.014795263891300573,0.09306219951958059,0.025984157802514563,0.01527441723041259,clearance_ground+foot_ground_before_ready,success,0,3,+x12,+x2|-x3|+x1|-x2
20260702,75,1.0,mid_cross,0.3,0.01,False,False,False,False,False,nan,nan,nan,,0.6286451740741329,0.75786645827293,0.013437442238717921,0.01484174987403078,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,1,+x23,+x4|-x18
20260702,76,1.0,touchdown,0.3,0.01,True,True,True,True,True,0.11591036022383056,0.11591036022383056,0.0,False,0.019722273746392346,0.019722273746392346,0.006818928513427552,0.006818928513427552,success,success,0,0,+x3,+x3
20260702,77,1.0,touchdown,0.3,0.01,True,True,True,True,True,0.05242610033844759,0.055748162152260444,0.0033220618138128516,False,0.045229743852897,0.04761131298813403,0.034574665280742656,0.03422638365519898,success,success,0,1,+x7,+x5|-x2
20260702,78,1.0,mid_cross,0.3,0.01,False,False,False,False,False,nan,nan,nan,,1.1273772249436653,0.5942970472906273,0.10721496821535023,0.07384403614892002,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_bad_clearance,0,1,+x19,+x6|-x7
20260702,79,1.0,mid_cross,0.3,0.01,False,False,False,False,False,nan,nan,nan,,0.2806757850103401,0.2871982741613489,0.011156053082053207,0.00038720199698235105,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,1,+x26,+x3|-x11
20260702,80,1.0,mid_cross,0.3,0.01,False,False,False,False,False,nan,nan,nan,,1.0527861261127673,1.4320501681729838,-0.0978425721674315,-0.11961733694695141,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,1,+x45,+x10|-x21
20260702,81,1.0,touchdown,0.3,0.02,True,True,False,False,False,nan,nan,nan,,0.2896046196333631,0.2896046196333631,-0.016547656539577932,-0.016547656539577932,success,success,0,0,-x8,-x8
20260702,82,1.0,touchdown,0.3,0.02,True,True,False,False,False,nan,nan,nan,,0.023272014438275083,0.023272014438275083,-0.009275455036869579,-0.009275455036869579,success,success,0,0,-x4,-x4
20260702,83,1.0,mid_cross,0.3,0.02,False,False,False,False,False,nan,nan,nan,,0.4367600845955004,0.512646072151757,0.04437051031009823,0.06307770708137327,clearance_ground+foot_ground_before_ready,clearance_ground+foot_ground_before_ready,0,1,+x22,+x11|-x17
