case_id,controller,success,cmt_unchanged,energy_j_unchanged,com_displacement_m_unchanged,legacy_landing_error_archived_abs_m,legacy_landing_error_recomputed_abs_m,corrected_actual_foot_sum_m,corrected_target_foot_sum_m,corrected_accumulated_signed_residual_m,corrected_accumulated_abs_residual_m,corrected_per_transition_mae_m,corrected_per_transition_rmse_m,max_abs_transition_residual_m
flat_1.28_r3,passive,True,0.11551109964541492,3.517698730375943,1.3820866481370897,0.03441548621294288,0.03441548621294288,1.471808327667808,1.5030000000000001,-0.03119167233219211,0.03119167233219211,0.0569517889780759,0.05921278283728679,0.06983184730101788
raised_1.145_r1,continuous,True,0.25817243332390905,6.937247360459956,1.2194883617459662,0.13373676585990957,0.13373676585990957,1.3729690433200452,1.4968524379876138,-0.12388339466756859,0.12388339466756859,0.04129446488918953,0.042014926501765706,0.047291770137532996
raised_1.145_r1,discrete,True,0.25098054963443095,6.603755302875851,1.194129023521131,0.12955070927378998,0.12955070927378998,1.3748638507528617,1.4968524379876138,-0.12198858723475214,0.12198858723475214,0.040662862411584066,0.04274840917318509,0.05931481169963554
raised_1.145_r1,mpc,True,0.22893207093882226,6.234679147342724,1.2359696861224228,0.05753561801696194,0.05753561801696194,1.4405075216462162,1.4968524379876138,-0.0563449163413976,0.0563449163413976,0.03176062662988969,0.032994347401874256,0.04045850546937668
raised_1.145_r1,passive,True,0.14785439168930947,3.980868575118514,1.2219233357288677,0.10767834951502708,0.10767834951502708,1.3976784909478623,1.4968524379876138,-0.09917394703975146,0.09917394703975146,0.035954432734400986,0.04256831448771744,0.05720244342108172
raised_1.145_r2,continuous,True,0.24736340282300093,6.677670294648605,1.2251517179631182,0.1281237757893665,0.1281237757893665,1.3783123671531372,1.4968524379876138,-0.1185400708344766,0.1185400708344766,0.039513356944825516,0.04172953008246451,0.04915322219233842
raised_1.145_r2,discrete,True,0.24133085679392913,6.235974799856348,1.1727132832785898,0.1549283434931863,0.1549283434931863,1.3507281511551361,1.4968524379876138,-0.1461242868324777,0.1461242868324777,0.0487080956108259,0.05103693256952043,0.07014795918167238
raised_1.145_r2,mpc,True,0.19914510750875808,5.534552509032071,1.2612849640952042,0.031816402005401034,0.031816402005401034,1.4650376065424768,1.4968524379876138,-0.03181483144513697,0.03181483144513697,0.028620037064754984,0.028835530822500482,0.03350018344264971
raised_1.145_r2,passive,True,0.13557148640344793,3.6002545593254065,1.2052168616342473,0.1255016597541394,0.1255016597541394,1.380887940701451,1.4968524379876138,-0.11596449728616287,0.11596449728616287,0.04031171043077555,0.04880517558170407,0.06711412248896409
raised_1.145_r3,continuous,True,0.23083457521884124,6.14138230007352,1.2074401726984894,0.14316232321420075,0.14316232321420075,1.3648236319756946,1.4968524379876138,-0.13202880601191924,0.13202880601191924,0.04400960200397308,0.04540952764973223,0.058288972077244705
