case_id,controller,transition_index,source,terminal_theta1_rad,terminal_theta2_rad,target_theta1_rad,target_theta2_rad,corrected_foot_x_m,corrected_target_foot_x_m,landing_residual_actual_minus_target_m,landing_residual_abs_m,legacy_foot_x_recomputed_m,legacy_foot_x_archived_m,legacy_x_recompute_error_m,corrected_foot_y_m
raised_1.145_r1,continuous,3,learned_archived_terminal_state,1.1099254879238531,0.474943491432908,1.0786134777324956,0.5532693728822025,0.45165904252500494,0.49895081266253793,-0.047291770137532996,0.047291770137532996,0.4699505702766596,0.4699505702766596,0.0,0.03887952267107264
raised_1.145_r1,discrete,1,learned_archived_terminal_state,1.1523523183209885,0.4936846307416891,1.0786134777324956,0.5532693728822025,0.4396360009629024,0.49895081266253793,-0.05931481169963554,0.05931481169963554,0.45859095123756627,0.45859095123756627,0.0,0.05248418950223227
raised_1.145_r1,discrete,2,learned_archived_terminal_state,1.0821437474254927,0.4824560407705962,1.0786134777324956,0.5532693728822025,0.46773943114552197,0.49895081266253793,-0.031211381517015968,0.031211381517015968,0.48629768219705083,0.48629768219705083,0.0,0.033927638007908156
raised_1.145_r1,discrete,3,learned_archived_terminal_state,1.1473219285337282,0.5548384197257351,1.0786134777324956,0.5532693728822025,0.46748841864443724,0.49895081266253793,-0.03146239401810069,0.03146239401810069,0.4885606572915931,0.4885606572915931,0.0,0.06613529528484119
raised_1.145_r1,passive,1,learned_archived_terminal_state,0.9943513340882567,0.4734723385570745,1.0786134777324956,0.5532693728822025,0.5032954882442637,0.49895081266253793,0.004344675581725799,0.004344675581725799,0.5215346632782034,0.5215346632782034,0.0,0.008723957521696801
raised_1.145_r1,passive,2,learned_archived_terminal_state,1.1566105850123758,0.5034881908696786,1.0786134777324956,0.5532693728822025,0.4417483692414562,0.49895081266253793,-0.05720244342108172,0.05720244342108172,0.46104772088865165,0.46104772088865165,0.0,0.05563623338839019
raised_1.145_r1,passive,3,learned_archived_terminal_state,1.1540873954509279,0.5266219088780796,1.0786134777324956,0.5532693728822025,0.4526346334621425,0.49895081266253793,-0.046316179200395435,0.046316179200395435,0.47273926631811797,0.47273926631811797,0.0,0.06058667225397929
raised_1.145_r2,continuous,1,learned_archived_terminal_state,1.150070860282894,0.5152390676424893,1.0786134777324956,0.5532693728822025,0.4497975904701995,0.49895081266253793,-0.04915322219233842,0.04915322219233842,0.4695073062217403,0.4695073062217403,0.0,0.05701094218130143
raised_1.145_r2,continuous,2,learned_archived_terminal_state,1.0596326141372288,0.48334940567635254,1.0786134777324956,0.5532693728822025,0.47841285386855503,0.49895081266253793,-0.020537958793982902,0.020537958793982902,0.4970027532917236,0.4970027532917236,0.0,0.02850539136291569
raised_1.145_r2,continuous,3,learned_archived_terminal_state,1.1125574984348334,0.47417659828008496,1.0786134777324956,0.5532693728822025,0.4501019228143827,0.49895081266253793,-0.04884888984815522,0.04884888984815522,0.46836616469716985,0.46836616469716985,0.0,0.03931919482821483
raised_1.145_r2,discrete,1,learned_archived_terminal_state,1.1562661300673678,0.4726288428933935,1.0786134777324956,0.5532693728822025,0.42880285348086555,0.49895081266253793,-0.07014795918167238,0.07014795918167238,0.4470119939101505,0.4470119939101505,0.0,0.04860403537658248
raised_1.145_r2,discrete,2,learned_archived_terminal_state,1.0860785230244059,0.4753220996170219,1.0786134777324956,0.5532693728822025,0.4628820366708586,0.49895081266253793,-0.03606877599167935,0.03606877599167935,0.48118703124266043,0.48118703124266043,0.0,0.03330525255412403
raised_1.145_r2,discrete,3,learned_archived_terminal_state,1.1589232625067551,0.5477107962745694,1.0786134777324956,0.5532693728822025,0.459043261003412,0.49895081266253793,-0.03990755165912596,0.03990755165912596,0.4798726313540029,0.4798726313540029,0.0,0.06679136653387141
raised_1.145_r2,passive,1,learned_archived_terminal_state,0.9919963020879337,0.4667392878488223,1.0786134777324956,0.5532693728822025,0.5014361296656198,0.49895081266253793,0.002485317003081855,0.002485317003081855,0.5194351990809467,0.5194351990809467,0.0,0.006586970694688554
raised_1.145_r2,passive,2,learned_archived_terminal_state,1.1566199640418777,0.48012121563390686,1.0786134777324956,0.5532693728822025,0.43183669017357385,0.49895081266253793,-0.06711412248896409,0.06711412248896409,0.45031215776559563,0.45031215776559563,0.0,0.05033082527328364
raised_1.145_r2,passive,3,learned_archived_terminal_state,1.1653836376055124,0.5275252498613577,1.0786134777324956,0.5532693728822025,0.44761512086225724,0.49895081266253793,-0.05133569180028069,0.05133569180028069,0.4677509833993185,0.4677509833993185,0.0,0.06315689624427684
raised_1.145_r3,continuous,1,learned_archived_terminal_state,1.1387050596858963,0.48085917650302734,1.0786134777324956,0.5532693728822025,0.44066184058529323,0.49895081266253793,-0.058288972077244705,0.058288972077244705,0.45916348419347847,0.45916348419347847,0.0,0.046662354956297725
raised_1.145_r3,continuous,2,learned_archived_terminal_state,1.0683804203114782,0.46827744923393355,1.0786134777324956,0.5532693728822025,0.4679838519010727,0.49895081266253793,-0.030966960761465212,0.030966960761465212,0.48603784560519536,0.48603784560519536,0.0,0.02739678645556276
raised_1.145_r3,continuous,3,learned_archived_terminal_state,1.1045347425629382,0.4796404057798176,1.0786134777324956,0.5532693728822025,0.4561779394893286,0.49895081266253793,-0.042772873173209325,0.042772873173209325,0.4746363469871255,0.4746363469871255,0.0,0.03866152159518882
raised_1.145_r3,discrete,1,learned_archived_terminal_state,1.137692245865863,0.47821290312705617,1.0786134777324956,0.5532693728822025,0.44001161655138654,0.49895081266253793,-0.05893919611115139,0.05893919611115139,0.45841934827686737,0.45841934827686737,0.0,0.045853882014821545
raised_1.145_r3,discrete,2,learned_archived_terminal_state,1.0936749937263346,0.47002732291622545,1.0786134777324956,0.5532693728822025,0.4571056738222549,0.49895081266253793,-0.041845138840283014,0.041845138840283014,0.4752220996404815,0.4752220996404815,0.0,0.033976614278726336
raised_1.145_r3,discrete,3,learned_archived_terminal_state,1.1584743185797606,0.547222447579065,1.0786134777324956,0.5532693728822025,0.4590570145717974,0.49895081266253793,-0.03989379809074056,0.03989379809074056,0.47986970594033485,0.47986970594033485,0.0,0.06657541287231078
raised_1.145_r3,passive,1,learned_archived_terminal_state,1.0284935251468996,0.46717574683417984,1.0786134777324956,0.5532693728822025,0.4855194558782613,0.49895081266253793,-0.013431356784276649,0.013431356784276649,0.5035341145968536,0.5035341145968536,0.0,0.016790333067455532
raised_1.145_r3,passive,2,learned_archived_terminal_state,1.1500535037974664,0.5563911786383072,1.0786134777324956,0.5532693728822025,0.46682471137384496,0.49895081266253793,-0.032126101288692976,0.032126101288692976,0.487949717503523,0.487949717503523,0.0,0.0671122904460692
