th1_index,th2_index,push_off_1_rad_s,push_off_2_rad_s,success,energy_J,com_displacement_m,cmt,completed_steps,seed
107,21,1.07,0.21,0,10000.0,1.1407433116574053,397.84363708943226,2,0
107,22,1.07,0.22,0,10000.0,1.1392659120205488,398.35956057907583,2,0
107,23,1.07,0.23,0,10000.0,1.1409514597346542,397.77105697447706,2,0
107,24,1.07,0.24,0,10000.0,1.1394831477283565,398.28361569013487,2,0
107,25,1.07,0.25,0,10000.0,1.1410409659820786,397.7398547690302,2,0
107,26,1.07,0.26,0,10000.0,1.1395422274470666,398.26296662297875,2,0
107,27,1.07,0.27,0,10000.0,1.1410144086197862,397.74911225196945,2,0
107,28,1.07,0.28,0,10000.0,1.13943547057996,398.30028098408036,2,0
107,29,1.07,0.29,0,10000.0,1.1408615861049163,397.802392176863,2,0
107,30,1.07,0.3,0,10000.0,1.1391404765955997,398.4034255823747,2,0
107,31,1.07,0.31,0,10000.0,1.1405550276054885,397.90931354537474,2,0
107,32,1.07,0.32,0,10000.0,1.1386152444780633,398.5872052005269,2,0
107,33,1.07,0.33,0,10000.0,1.1400445481648736,398.087485989707,2,0
107,34,1.07,0.34,0,10000.0,1.1411051189210633,397.71749383118873,2,0
107,35,1.07,0.35000000000000003,0,10000.0,1.139275423738805,398.35623470736306,2,0
107,36,1.07,0.36,0,10000.0,1.1404141917191948,397.95845350806957,2,0
107,37,1.07,0.37,0,10000.0,1.1381248507069324,398.75894794260074,2,0
107,38,1.07,0.38,0,10000.0,1.1393289379579215,398.33752393638173,2,0
107,39,1.07,0.39,0,10000.0,1.1402675827566002,398.0096206875166,2,0
107,40,1.07,0.4,0,10000.0,1.13766295072559,398.9208471681115,2,0
107,41,1.07,0.41000000000000003,0,10000.0,1.1386608078457372,398.5712557841111,2,0
107,42,1.07,0.42,0,10000.0,1.139448081620209,398.29587272629686,2,0
107,43,1.07,0.43,0,10000.0,1.140051617759498,398.08501740222624,2,0
107,44,1.07,0.44,0,10000.0,1.1368872482055623,399.1930323887025,2,0
107,45,1.07,0.45,0,10000.0,1.1374522805381142,398.9947322278181,2,0
107,46,1.07,0.46,0,10000.0,1.1378367665709588,398.85990805423955,2,0
107,47,1.07,0.47000000000000003,0,10000.0,1.1380473033375456,398.78611966678284,2,0
107,48,1.07,0.48,0,10000.0,1.1380959890884284,398.76906029581255,2,0
107,49,1.07,0.49,0,10000.0,1.137973919333918,398.8118360048772,2,0
107,50,1.07,0.5,0,10000.0,1.1376408734292556,398.9285887093682,2,0
107,51,1.07,0.51,0,10000.0,1.1370524720641315,399.1350260831488,2,0
107,52,1.07,0.52,0,10000.0,1.1361399935841234,399.4555870386428,2,0
107,53,1.07,0.53,0,10000.0,1.1391494696754672,398.4002803640157,2,0
107,54,1.07,0.54,0,10000.0,1.1378558678049915,398.8532123762846,2,0
107,55,1.07,0.55,0,10000.0,1.135931183918891,399.52901594752876,2,0
107,56,1.07,0.56,0,10000.0,1.1380061381236302,398.80054499839804,2,0
107,57,1.07,0.5700000000000001,0,10000.0,1.1393087904334651,398.3445681328917,2,0
107,58,1.07,0.58,0,10000.0,0.8847084819555315,512.979673363228,2,0
107,59,1.07,0.59,0,10000.0,0.8852525248327109,512.664415366665,2,0
107,60,1.07,0.6,0,10000.0,0.8839416719952103,513.4246777514581,2,0
107,61,1.07,0.61,0,10000.0,0.8804096551363121,515.4844286946843,2,0
107,62,1.07,0.62,0,10000.0,0.8839255486988773,513.4340429047069,2,0
107,63,1.07,0.63,0,10000.0,0.8841032432843432,513.3308485661372,2,0
107,64,1.07,0.64,0,10000.0,0.8797768604795637,515.8551997467181,2,0
107,65,1.07,0.65,0,10000.0,0.8790823447557345,516.2627492209857,2,0
107,66,1.07,0.66,0,10000.0,0.879320208660869,516.1230955744578,2,0
107,67,1.07,0.67,0,10000.0,0.8754370296629703,518.4124645377935,2,0
107,68,1.07,0.68,0,10000.0,0.8755988832578808,518.316636502107,2,0
107,69,1.07,0.6900000000000001,0,10000.0,0.8727306027549723,520.0201146408581,2,0
107,70,1.07,0.7000000000000001,1,6.764214633873749,1.3292803633547439,0.2309410510919199,3,0
