case_id,terrain,nominal_length_m,method,status,cmt,time_s,landing_transition_count,foot_placement_mae_per_transition_m,landing_metric_source,source_record
raised_L1145_r1,raised_0.01m,1.145,Continuous-torque MPC,ok,0.22893207093882226,2.29,3,0.03176062662988969,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.145_r1/mpc,results/paper2_mpc_current_12_cases.csv
raised_L1145_r2,raised_0.01m,1.145,Continuous-torque MPC,ok,0.19914510750875808,2.69,3,0.028620037064754984,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.145_r2/mpc,results/paper2_mpc_current_12_cases.csv
raised_L1145_r3,raised_0.01m,1.145,Continuous-torque MPC,ok,0.2336846609099357,2.79,3,0.023433797532590284,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.145_r3/mpc,results/paper2_mpc_current_12_cases.csv
raised_L1280_r1,raised_0.01m,1.28,Continuous-torque MPC,ok,0.16465844581543587,2.48,3,0.027463542993726314,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r1/mpc,results/paper2_mpc_current_12_cases.csv
raised_L1280_r2,raised_0.01m,1.28,Continuous-torque MPC,ok,0.17493955405531159,2.7,3,0.027994093116874952,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r2/mpc,results/paper2_mpc_current_12_cases.csv
raised_L1280_r3,raised_0.01m,1.28,Continuous-torque MPC,ok,0.19525330088538523,2.08,3,0.03526892801267536,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r3/mpc,results/paper2_mpc_current_12_cases.csv
flat_L1145_r1,flat,1.145,Transition-start lookup router,ok,0.10874651379127698,2.5500000000000003,3,0.04755038062772534,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r1/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.145_r1/passive
flat_L1145_r2,flat,1.145,Transition-start lookup router,ok,0.1185792601677367,2.61,3,0.044085660787390124,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r2/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.145_r2/passive
flat_L1145_r3,flat,1.145,Transition-start lookup router,ok,0.12143080143077968,2.84,3,0.05603427166188648,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.145_r3/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.145_r3/passive
flat_L1280_r1,flat,1.28,Transition-start lookup router,ok,0.11319157587430137,2.67,3,0.03467352921613979,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.28_r1/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.28_r1/passive
flat_L1280_r2,flat,1.28,Transition-start lookup router,ok,0.11225498534642357,2.7800000000000002,3,0.044391729279741665,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.28_r2/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.28_r2/passive
flat_L1280_r3,flat,1.28,Transition-start lookup router,ok,0.11551109964541492,2.81,3,0.0569517889780759,supplementary/S4/landing_metric/results/case_metrics.csv#flat_1.28_r3/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#flat_1.28_r3/passive
raised_L1145_r1,raised_0.01m,1.145,Transition-start lookup router,ok,0.14785439168930947,2.3000000000000003,3,0.035954432734400986,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.145_r1/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.145_r1/passive
raised_L1145_r2,raised_0.01m,1.145,Transition-start lookup router,ok,0.13557148640344793,2.4,3,0.04031171043077555,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.145_r2/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.145_r2/passive
raised_L1145_r3,raised_0.01m,1.145,Transition-start lookup router,ok,0.13212368445931796,3.19,3,0.029919810888665504,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.145_r3/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.145_r3/passive
raised_L1280_r1,raised_0.01m,1.28,Transition-start lookup router,ok,0.12320914014917492,3.21,3,0.03295040519951755,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r1/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.28_r1/passive
raised_L1280_r2,raised_0.01m,1.28,Transition-start lookup router,ok,0.11919749326798594,3.18,3,0.03514654011221583,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r2/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.28_r2/passive
raised_L1280_r3,raised_0.01m,1.28,Transition-start lookup router,ok,0.12048524477893445,3.17,3,0.03869863662220927,supplementary/S4/landing_metric/results/case_metrics.csv#raised_1.28_r3/passive,results/paper2_push_off_grid_12case/accepted_cases.csv#raised_1.28_r3/passive
