walk_direction,commanded_step_length_m,commanded_step_height_m,controller,n,success_count,success_rate,success_wilson_95_low,success_wilson_95_high,valid_count,valid_rate,valid_wilson_95_low,valid_wilson_95_high,self_valid_mean_cmt,self_valid_sample_sd_cmt,self_valid_median_cmt,self_valid_q25_cmt,self_valid_q75_cmt,route_positive_count,route_negative_count,route_active_count,route_hard_mask_count
-1.0,0.35,0.01,released_two_expert_selector,600,352,0.5866666666666667,0.5468349705424134,0.6253956679485453,163,0.27166666666666667,0.23761065166261117,0.30862785846697893,0.5382162235254111,1.7074897640017606,0.0686104639085256,0.028821214323281556,0.2354425205532557,129,471,0,0
-1.0,0.35,0.01,true_hard_mask,600,346,0.5766666666666667,0.5367673837673946,0.6155904887438378,160,0.26666666666666666,0.23284852244066429,0.30345360469906274,1.2001434060711702,1.37960579779953,0.6987378290558202,0.45588276282786466,1.3222165006920887,0,0,0,600
-1.0,0.35,0.02,active,600,369,0.615,0.5754505349201839,0.653086273846665,182,0.30333333333333334,0.2678974928892395,0.3412714428428163,1.3170876726484022,3.3673690457918846,0.3603845619740954,0.06147848934815159,1.118641408182186,0,0,600,0
-1.0,0.35,0.02,positive_expert,600,267,0.445,0.4057102223492578,0.4849895647622494,136,0.22666666666666666,0.19496664476548947,0.26184441845533357,0.16179500757033888,0.26793382112892455,0.08192832228958734,0.03810404187486238,0.18337563494524386,600,0,0,0
-1.0,0.35,0.02,negative_expert,600,331,0.5516666666666666,0.5116699679696873,0.5910059895922303,167,0.2783333333333333,0.24396887405645667,0.31551814672628403,0.7633207396009271,3.1256859780827315,0.0927183247175801,0.042267230272764446,0.3621455379650045,0,600,0,0
-1.0,0.35,0.02,proposed_phase_aware_three_expert,600,359,0.5983333333333334,0.558601468961459,0.6368140631725133,180,0.3,0.2646994532170419,0.33784522718843846,0.94549414830017,3.0713867864882465,0.1930582814535582,0.054171842602216226,0.8832693925906185,10,232,358,0
-1.0,0.35,0.02,released_two_expert_selector,600,354,0.59,0.5501945105891836,0.6286603832283503,177,0.295,0.25990668214519635,0.332701615270421,0.7246420900758339,3.0395712088389755,0.08509324819413136,0.04069562119146127,0.327281155104871,133,467,0,0
-1.0,0.35,0.02,true_hard_mask,600,348,0.58,0.5401214133886778,0.61886071444913,171,0.285,0.25033685666577143,0.32239867477011985,1.5945555029228191,2.404571593836954,0.8986721808626905,0.4818380576442727,1.755386544670515,0,0,0,600
-1.0,0.4,0.0,active,600,353,0.5883333333333334,0.5485145097653442,0.6270282563889021,167,0.2783333333333333,0.24396887405645667,0.31551814672628403,1.5428280170977027,2.6861890483814395,0.7950570691441176,0.4301826759188546,1.518355360198577,0,0,600,0
-1.0,0.4,0.0,positive_expert,600,281,0.4683333333333333,0.42873420347591623,0.5083353709216182,133,0.22166666666666668,0.19026019294103996,0.25661448728992015,0.3570029195981698,0.44251585580123487,0.1681707581581339,0.06745984640013875,0.4579921367196992,600,0,0,0
-1.0,0.4,0.0,negative_expert,600,309,0.515,0.4750422742911774,0.5547668746784117,149,0.24833333333333332,0.21543706961349934,0.28443165323006336,0.2945940873730625,0.45787412619450263,0.09544660267757506,0.04940719949234228,0.3412177829339185,0,600,0,0
