seed,first,second,n,first_success_count,second_success_count,success_difference_pp,second_only_success_count,first_only_success_count,exact_two_sided_mcnemar_p,common_valid_count,common_valid_fraction_of_first_valid,common_valid_fraction_of_second_valid,first_common_mean_cmt,first_common_sample_sd_cmt,second_common_mean_cmt,second_common_sample_sd_cmt,second_minus_first_mean_cmt,ratio_of_means_reduction,second_lower_fraction,cmt_tie_fraction
20263113,active,proposed_phase_aware_three_expert,720,354,359,0.6944444444444475,15,10,0.42435622215270996,180,0.9523809523809523,0.8866995073891626,2.132082238086988,4.80225364026787,1.190693545321853,4.638115673544232,-0.9413886927651353,0.441534888264815,0.5333333333333333,0.4444444444444444
20263113,true_hard_mask,proposed_phase_aware_three_expert,720,336,359,3.194444444444444,40,17,0.0032015437674503813,165,0.9322033898305084,0.812807881773399,1.6830641278602705,2.2977784872639866,0.9269670603560562,2.820200547125023,-0.7560970675042142,0.4492384187793622,0.8,0.012121212121212121
20263113,released_two_expert_selector,proposed_phase_aware_three_expert,720,351,359,1.1111111111111127,16,8,0.15158963203430176,193,0.9747474747474747,0.9507389162561576,0.7829334944904568,4.025121773717987,0.9995150492270403,4.029594044287934,0.2165815547365833,-0.27662829124143884,0.07772020725388601,0.6424870466321243
20263113,active,true_hard_mask,720,354,336,-2.4999999999999964,13,31,0.009559878856634896,164,0.8677248677248677,0.9265536723163842,1.6593435912894938,3.2841493950443432,1.6225526282816345,2.26483968951864,-0.03679096300785891,0.022171998132869297,0.39634146341463417,0.024390243902439025
20263114,active,proposed_phase_aware_three_expert,720,355,353,-0.27777777777778234,10,12,0.8318119049072266,170,0.96045197740113,0.8994708994708994,1.4926758628812242,2.469498210476091,0.6101441683175752,1.3125253366956937,-0.8825316945636493,0.5912413515283553,0.5470588235294118,0.4176470588235294
20263114,true_hard_mask,proposed_phase_aware_three_expert,720,346,353,0.9722222222222188,28,21,0.3916029105474905,160,0.9580838323353293,0.8465608465608465,1.4464460606047793,1.9882574254363041,0.56332179208013,1.2717003512871703,-0.8831242685246494,0.6105476675399861,0.83125,0.0125
20263114,released_two_expert_selector,proposed_phase_aware_three_expert,720,339,353,1.944444444444443,22,8,0.016124801710247997,177,0.9672131147540983,0.9365079365079365,0.2900573486796503,0.6860165260699914,0.5037367947052953,1.184056289786974,0.213679446025645,-0.7366799944849536,0.062146892655367235,0.655367231638418
20263114,active,true_hard_mask,720,355,346,-1.250000000000001,13,22,0.175465248990804,162,0.9152542372881356,0.9700598802395209,1.3109759320173344,1.9862754221749415,1.3786225577248141,1.7216952897334965,0.0676466257074797,-0.0516002041344763,0.3950617283950617,0.030864197530864196
20263115,active,proposed_phase_aware_three_expert,720,327,326,-0.1388888888888884,12,13,1.0,157,0.9345238095238095,0.8770949720670391,1.3431349179015246,2.393863711764597,0.7250858682069152,2.155655919511042,-0.6180490496946095,0.46015410772004306,0.5414012738853503,0.39490445859872614
20263115,true_hard_mask,proposed_phase_aware_three_expert,720,309,326,2.361111111111114,35,18,0.027008317653722358,138,0.9261744966442953,0.770949720670391,1.2537914828764953,1.9651846559728936,0.5104139400825115,1.3706475673819773,-0.7433775427939838,0.5929036470151314,0.7898550724637681,0.021739130434782608
20263115,released_two_expert_selector,proposed_phase_aware_three_expert,720,314,326,1.6666666666666663,14,2,0.004180908203125,168,0.9767441860465116,0.9385474860335196,0.5038180705519792,1.8396012865582099,0.6829296318014615,2.1036709624043413,0.1791115612494823,-0.35550841011567713,0.08333333333333333,0.7023809523809523
20263115,active,true_hard_mask,720,327,309,-2.500000000000002,14,32,0.011351591436778108,139,0.8273809523809523,0.9328859060402684,1.1054781917888612,1.8625248525640958,1.2682496536016217,2.1285979363256087,0.16277146181276037,-0.14724077147950543,0.4028776978417266,0.03597122302158273
