walk_direction,commanded_step_length_m,commanded_step_height_m,first,second,n,first_success_count,second_success_count,success_difference_pp,second_only_success_count,first_only_success_count,exact_two_sided_mcnemar_p,common_valid_count,common_valid_fraction_of_first_valid,common_valid_fraction_of_second_valid,first_common_mean_cmt,first_common_sample_sd_cmt,second_common_mean_cmt,second_common_sample_sd_cmt,second_minus_first_mean_cmt,ratio_of_means_reduction,second_lower_fraction,cmt_tie_fraction
1.0,0.35,0.01,active,true_hard_mask,600,221,206,-2.500000000000002,9,24,0.013530986849218607,91,0.8198198198198198,0.9479166666666666,1.8360467061655745,3.7560654361331105,1.6253406915135857,2.328893688205749,-0.21070601465198885,0.11476070513044312,0.4175824175824176,0.054945054945054944
1.0,0.35,0.02,active,proposed_phase_aware_three_expert,600,223,226,0.5000000000000004,12,9,0.6636238098144531,118,0.9365079365079365,0.8194444444444444,2.0669154749556244,3.348199063851109,0.4974407835423006,1.3626908720540931,-1.569474691413324,0.7593318209817068,0.6779661016949152,0.288135593220339
1.0,0.35,0.02,true_hard_mask,proposed_phase_aware_three_expert,600,199,226,4.499999999999998,39,12,0.0001980394513374506,89,0.898989898989899,0.6180555555555556,1.9256016950661203,2.9692387908241575,0.4724424975806778,1.5082577474229202,-1.4531591974854423,0.7546520140737333,0.8202247191011236,0.033707865168539325
1.0,0.35,0.02,released_two_expert_selector,proposed_phase_aware_three_expert,600,213,226,2.166666666666667,18,5,0.010622024536132812,130,0.9420289855072463,0.9027777777777778,0.23828205924070617,0.9945961219321492,0.34310863283734694,1.229161067171759,0.10482657359664076,-0.43992642136245674,0.015384615384615385,0.8769230769230769
1.0,0.35,0.02,active,true_hard_mask,600,223,199,-3.9999999999999982,9,33,0.0002715392342906853,90,0.7142857142857143,0.9090909090909091,1.7260418990691597,2.3797589508345296,1.8867251286270579,2.9347879406038264,0.16068322955789788,-0.0930934698888557,0.5,0.044444444444444446
1.0,0.4,0.0,active,proposed_phase_aware_three_expert,600,203,220,2.833333333333332,21,4,0.0009105205535888672,95,0.9693877551020408,0.6785714285714286,1.4845753988810475,2.5058641092488187,0.3970229622485646,1.014939788821763,-1.087552436632483,0.7325680039236753,0.6526315789473685,0.3157894736842105
1.0,0.4,0.0,true_hard_mask,proposed_phase_aware_three_expert,600,195,220,4.1666666666666625,30,5,2.2361520677804947e-05,96,0.96,0.6857142857142857,1.1059356413797394,1.9480646022837351,0.36573628679428394,0.9524584289761692,-0.7401993545854554,0.6692969526346036,0.7708333333333334,0.07291666666666667
1.0,0.4,0.0,released_two_expert_selector,proposed_phase_aware_three_expert,600,218,220,0.33333333333332993,7,5,0.7744140625,135,0.9854014598540146,0.9642857142857143,0.24746898938062467,1.2683011157659472,0.31096159778697924,0.8234845275798045,0.06349260840635455,-0.25656793833145075,0.014814814814814815,0.8740740740740741
1.0,0.4,0.0,active,true_hard_mask,600,203,195,-1.3333333333333308,13,21,0.22948101302608848,86,0.8775510204081632,0.86,1.2952158349431782,2.2551372554510185,0.755757519619414,1.042024506456362,-0.5394583153237643,0.41650071036031655,0.4883720930232558,0.08139534883720931
1.0,0.4,0.01,active,proposed_phase_aware_three_expert,600,225,242,2.833333333333332,27,10,0.007632078602910042,104,0.9719626168224299,0.7938931297709924,1.643801707822773,3.260784342702321,0.7501849532044337,2.499246865385466,-0.8936167546183391,0.543628072878657,0.625,0.27884615384615385
1.0,0.4,0.01,true_hard_mask,proposed_phase_aware_three_expert,600,206,242,6.0,45,9,7.288430776686282e-07,92,0.9583333333333334,0.7022900763358778,0.9552254138910712,1.629577430011321,0.3081150212807486,0.8638879568654987,-0.6471103926103227,0.677442604855272,0.7934782608695652,0.08695652173913043
1.0,0.4,0.01,released_two_expert_selector,proposed_phase_aware_three_expert,600,234,242,1.3333333333333308,12,4,0.076812744140625,122,0.953125,0.9312977099236641,0.47988090112886084,2.1297060727732515,0.6354077657250566,2.3659683228500454,0.15552686459619594,-0.32409471648139765,0.040983606557377046,0.8934426229508197
1.0,0.4,0.01,active,true_hard_mask,600,225,206,-3.166666666666668,10,29,0.0033778479119064286,89,0.8317757009345794,0.9270833333333334,1.2553751977447023,2.6185115557386967,0.791830415390941,1.265739931568313,-0.4635447823537613,0.3692480010649608,0.38202247191011235,0.07865168539325842
1.0,0.4,0.02,active,proposed_phase_aware_three_expert,600,177,197,3.3333333333333326,22,2,3.5881996154785156e-05,103,0.9537037037037037,0.7862595419847328,1.4647764874757048,2.4982922186546066,0.42654492868478006,1.213961199420604,-1.0382315587909245,0.708798624000404,0.6116504854368932,0.3592233009708738
1.0,0.4,0.02,true_hard_mask,proposed_phase_aware_three_expert,600,168,197,4.833333333333329,36,7,8.963039363152348e-06,91,0.9285714285714286,0.6946564885496184,0.9237308517236698,1.6344380689293,0.32619382929584134,1.2165808490304524,-0.5975370224278285,0.6468735144147585,0.7252747252747253,0.15384615384615385
1.0,0.4,0.02,released_two_expert_selector,proposed_phase_aware_three_expert,600,200,197,-0.5000000000000004,6,9,0.6072387695312499,124,0.9612403100775194,0.9465648854961832,0.17690659712466006,0.5748462051025109,0.2421248320411006,0.6822643960735423,0.06521823491644058,-0.3686591454273662,0.016129032258064516,0.9112903225806451
1.0,0.4,0.02,active,true_hard_mask,600,177,168,-1.4999999999999958,11,20,0.14961278438568115,91,0.8425925925925926,0.9285714285714286,1.3793505992753323,2.3892480200244806,0.8593459460566665,1.4312919060494922,-0.5200046532186657,0.37699237125924334,0.4175824175824176,0.16483516483516483
